,model,accuracy,precision,recall,f1
0,"original_{'dropout': 0.3, 'lr': 0.001, 'train_batch_size': 128}",0.47788873038516405,0.22194005943477826,0.2900976888421719,0.19598113629274833
1,"original_{'dropout': 0.4, 'lr': 0.002, 'train_batch_size': 64}",0.10128388017118402,0.014469125738740573,0.14285714285714285,0.026276831976313843
2,"original_{'dropout': 0.4, 'lr': 0.03, 'train_batch_size': 128}",0.10413694721825963,0.014876706745465661,0.14285714285714285,0.02694721299372462
3,"original_augmented_{'dropout': 0.3, 'lr': 0.001, 'train_batch_size': 128}",0.015691868758915834,0.0022416955369879764,0.14285714285714285,0.004414125200642055
4,"original_augmented_{'dropout': 0.4, 'lr': 0.002, 'train_batch_size': 64}",0.10128388017118402,0.014469125738740573,0.14285714285714285,0.026276831976313843
5,"original_augmented_{'dropout': 0.4, 'lr': 0.03, 'train_batch_size': 128}",0.039942938659058486,0.005706134094151212,0.14285714285714285,0.010973936899862827
6,"undersampled_{'dropout': 0.3, 'lr': 0.001, 'train_batch_size': 128}",0.15263908701854492,0.13794077687616355,0.14775019162594613,0.05874215716555294
7,"undersampled_{'dropout': 0.4, 'lr': 0.002, 'train_batch_size': 64}",0.6847360912981455,0.09781944161402079,0.14285714285714285,0.11612434982460385
8,"undersampled_{'dropout': 0.4, 'lr': 0.03, 'train_batch_size': 128}",0.015691868758915834,0.0022416955369879764,0.14285714285714285,0.004414125200642055
9,"combined_{'dropout': 0.3, 'lr': 0.001, 'train_batch_size': 128}",0.6062767475035663,0.3704385197086534,0.46192911986960417,0.36762624661301413
10,"combined_{'dropout': 0.4, 'lr': 0.002, 'train_batch_size': 64}",0.009985734664764621,0.001426533523537803,0.14285714285714285,0.0028248587570621464
11,"combined_{'dropout': 0.4, 'lr': 0.03, 'train_batch_size': 128}",0.039942938659058486,0.005706134094151212,0.14285714285714285,0.010973936899862827
