,params,accuracy,precision,recall,f1,dataset
0,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,original
1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,original
4,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
3,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
2,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
0,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
3,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,undersampled
2,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,undersampled
1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,undersampled
0,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,undersampled
1,"{'C': 1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,original_augmented
0,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,original_augmented
5,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.6847360912981455,0.14285714285714285,0.09781944161402079,0.11612434982460385,combined
3,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.10413694721825963,0.14285714285714285,0.014876706745465661,0.02694721299372462,original_augmented
2,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.10413694721825963,0.14285714285714285,0.014876706745465661,0.02694721299372462,original_augmented
3,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.10413694721825963,0.14285714285714285,0.014876706745465661,0.02694721299372462,original
2,"{'C': 0.6, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.10413694721825963,0.14285714285714285,0.014876706745465661,0.02694721299372462,original
5,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.10128388017118402,0.14285714285714285,0.014469125738740573,0.026276831976313843,original_augmented
4,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.10128388017118402,0.14285714285714285,0.014469125738740573,0.026276831976313843,original_augmented
5,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.10128388017118402,0.14285714285714285,0.014469125738740573,0.026276831976313843,original
4,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.10128388017118402,0.14285714285714285,0.014469125738740573,0.026276831976313843,original
4,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.0442225392296719,0.14285714285714285,0.006317505604238842,0.01209992193598751,undersampled
5,"{'C': 0.2, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.0442225392296719,0.14285714285714285,0.006317505604238842,0.01209992193598751,undersampled
